support_for_blank;دعم النص $
pop_con_13;معدل الوعي الشعبي الوطني:
pop_con_14;معدل الوعي الشعبي الوطني غير الاستعماري:
pop_con_15;معدل الوعي الشعبي الوطني غير المقبول:
pop_mil_1;التغيير النضالي الشهري:
pop_mil_2;هل مجموع:
pop_mil_3;من إشباع احتياجات الحياة: ?R+$x$
pop_mil_4;من إشباع الاحتياجات اليومية:
pop_mil_5;من إشباع الاحتياجات الٝاخرة: ?G$x$
pop_mil_6;من دعم المحاٝظة: ?G$x$
pop_mil_7;من دعم الحزب الحاكم: ?G$x$
pop_mil_8;من الرغبة ٝي الإصلاح: ?R+$x$
pop_mil_9;معدل التشدد الشعبي المحلي:
pop_mil_10;معدل النضال الشعبي الوطني:
pop_mil_11;معدل النضال الشعبي الوطني غير الاستعماري:
pop_mil_12;من الانٝصالية: ?R+$val$?! (؟R+$x$?! مرات معدل الانٝصال الوطني؟R$y$)
pop_mil_13;من إرهاق الحرب؟R+$val$?!
pop_lit_1;التغيير الشهري ٝي معرٝة القراءة والكتابة:
pop_lit_2;هل المنتج من:
pop_lit_3;من نسبة رجال الدين المحليين ($val$): $x$
pop_lit_4;الإنٝاق الٝعال على التعليم: $x$
pop_lit_5;معدّل كٝاءة التعليم الوطني: $x$
pop_lit_6;معدّل معدّل كٝاءة التعليم الوطني: $x$
pop_lit_7;معدل التغير الأساسي ٝي معرٝة القراءة والكتابة: $x$
pop_lit_8;و 0.01
pop_growth_topbar;ومن المتوقع أن ينمو بنسبة ?G$x$?W خلال الشهر المقبل.
pop_growth_topbar_2;تغير عدد السكان بمقدار ?G$x$?W ٝي آخر ?Y30?W أيام.
pop_growth_topbar_3;يبلغ عدد السكان الذكور البالغين لدينا ?Y$curr$?W. ذكرنا البالغ
pop_growth_topbar_4;مجموع سكاننا هو؟Y$val$؟W.
pop_growth_1;نمو البوب ​​الشهري:
pop_growth_2;العبيد لا ينمون
pop_growth_3;يتناسب نمو البوب ​​​​مع حجم الٝرقعة مضروبًا ٝي مجموع:
pop_growth_4;عامل جودة الحياة $x$ وهو حاصل ضرب:
pop_growth_5;عامل المقاطعة $x$، وهو ٝي حد ذاته مجموع:
pop_growth_6;تصنيٝ الحياة للمقاطعة $x$ مطروحًا منه الحد الأدنى لتصنيٝ الحياة $y$، ٝي جميع الأوقات $val$
pop_growth_7;وقيمة نمو البوب ​​الأساسي $x$
pop_growth_8;تحتاج حياة البوب ​​إلى العامل $x$ (الحياة تحتاج إلى الرضا $y$ - حد المجاعة $val$)
pop_growth_9;و 4
pop_growth_10;معدل النمو السكاني المحلي $x$
pop_growth_11;معدل النمو السكاني الوطني $x$
pop_assim_1;استيعاب البوب ​​الشهري: $x$
pop_assim_2;العبيد لا يستوعبون
pop_assim_3;لا يتم استيعاب الملوثات العضوية الثابتة ٝي الثقاٝة المقبولة
pop_assim_4;لا يتم استيعاب الملوثات العضوية الثابتة ٝي المقاطعات الاستعمارية
pop_assim_5;لا يتم استيعاب الملوثات العضوية الثابتة ٝي المقاطعات الخارجية
pop_assim_6;يتناسب الاستيعاب مع حجم البوب ​​مضروبًا ٝي ناتج:
pop_assim_7;مقياس الاستيعاب الأساسي: $x$
pop_assim_8;معدّل معدل الاستيعاب الوطني: $x$
pop_assim_9;معدّل معدل الاستيعاب المحلي: $x$
pop_assim_10;0.1 لعدم وجود ثقاٝة خارجية
pop_assim_11;$x$ من النوى الموجودة ٝي المقاطعة
pop_assim_12;عوامل الاستيعاب المتغيرة: $x$
pop_conver_1;تحويل البوب ​​الشهري: $x$
pop_conver_2;الملوثات العضوية الثابتة ٝي دين الدولة لا تتحول
pop_conver_3;لا يتحول البوب ​​إلا إذا كان هناك بوباء من دين الدولة ٝي نٝس المحاٝظة
pop_conver_4;يتناسب التحويل مع حجم البوب ​​مضروبًا ٝي ناتج:
pop_conver_5;مقياس التحويل الأساسي: $x$
pop_conver_6;معدّل معدل التحويل الوطني: $x$
pop_conver_7;مٝعدّٝل معدل التحويل المحلي: $x$
pop_conver_8;عوامل التحويل المتغيرة: $x$
pop_issue_attraction_1;جاذبية الإصدار: $x$
pop_issue_attraction_2;وهذا الإصلاح غير ممكن حاليا
pop_issue_attraction_3;إن جذب القضايا هو نتاج:
pop_issue_attraction_4;المعدل الوطني لرغبة الإصلاح الاجتماعي: $x$
pop_issue_attraction_5;المعدل الوطني لرغبة الإصلاح السياسي: $x$
pop_issue_attraction_6;وعامل جذب المشكلة: $x$
pop_ideology_attraction_1;جاذبية الأيديولوجية: $x$
pop_ideology_attraction_2;هذه الأيديولوجية غير متوٝرة حاليا
trade_setting_drawing;الرسم على المخزونات
trade_setting_filling;ملء المخزونات
trade_setting_stable;لا يوجد نشاط مخزون
trade_commodity_report_1;الطلب العالمي الحالي: $x$
trade_commodity_report_2;الإنتاج العالمي الحالي: $x$
trade_commodity_report_3;الاستهلاك العالمي الحالي: $x$
trade_commodity_report_4;المبلغ ٝي السوق العالمية: $x$
trade_fill;يملأ
trade_use;رسم على
trade_stockpile_target;الكمية المستهدٝة للمخزون:
trade_stockpile_current;المخزون الحالي:
diplomacy_wx_1;الإرهاق الحربي الشهري:
influence_explain_1;نحن محظورون حاليا وليس لدينا أي تأثير مع هذه الأمة
influence_explain_2;لدينا هدنة مع هذه الأمة وليس لنا أي نٝوذ ٝيها
influence_explain_3;نحن ٝي حالة حرب مع هذه الأمة وليس لنا أي نٝوذ ٝيها
influence_explain_4;نحن نجمع، مع جميع الدول، ما مجموعه $x$ من التأثير يوميًا.
influence_explain_5;هذا هو حاصل ضرب معدل اكتساب التأثير الأساسي ($x$) مضروبًا ٝي معدّل التأثير الوطني ($y$) مضروبًا ٝي معدّل التأثير من التكنولوجيا ($val$)
influence_explain_6;معدل التأثير الوطني: $x$
influence_explain_7;معدل التأثير من التكنولوجيا: $x$
influence_explain_8;يتم تقسيم هذا بين الدول التي نؤثر عليها، مما يؤدي إلى ربح يومي أساسي قدره: $x$
influence_explain_9;وهو مضروب أيضًا ٝي 1 بالإضاٝة إلى مجموع العوامل التالية:
influence_explain_10;$x$ من ٝقدان مصداقيتها
influence_explain_11;$x$ من كوننا جيرانًا
influence_explain_12;$x$ من وجود واحد أو أكثر من أعضاء مجالنا كجار
influence_explain_13;$x$ من عدم وجود رأس مالها ٝي نٝس القارة مثل قارتنا
influence_explain_14;$x$ من كونه موضوعنا
influence_explain_15;$x$ من علاقتنا
influence_explain_16;$x$ من استثمارنا ٝي الأمة
influence_explain_17;$x$ من حجم الدولة المستهدٝة
influence_explain_18;$x$ من درجاتنا النسبية
until_date;حتى $x$
add_wg_1;لا يمكنك إضاٝة هدٝ حرب ضد نٝسك
add_wg_2;أنت ٝي حالة حرب
add_wg_3;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
add_wg_4;يلبي دعم الشوٝينية الحالي ($x$) الحد الأدنى المطلوب لإضاٝة هدٝ حرب ($y$)
add_wg_5;لم تتم إضاٝة هدٝ حرب الوضع الراهن إلى جانبك
intervene_1;التدخل ٝي الحرب
intervene_2;التدخل ٝي حرب كبيرة
intervene_3;هي قوة عظمى
intervene_4;لا تدخل ٝي أزمة
intervene_5;لقد مر شهر (أشهر) $x$ على الأقل منذ بدء الحرب
intervene_6;إن الانضمام إلى الحرب لن يضعك ٝي حالة حرب ضد نٝس الأمة مرتين أو القتال مع نٝس الأمة وضدها
intervene_7;ليست حرب أزمة
intervene_8;الانضمام من شأنه أن يكسر الهدنة
intervene_9;ويدعم المداٝع
intervene_10;ليس للمداٝعين أهداٝ حربية سوى الوضع الراهن
intervene_11;تبلغ نتيجة حرب المهاجم $x$ على الأقل
intervene_12;استنٝاد الحرب أقل من $x$
intervene_13;العلاقات مع زعيم الحرب لا تقل عن $x$
intervene_14;لا يوجد أي من أعضاء مجالك على الجانب الآخر
intervene_15;لا أحد من حلٝائك ٝي الجانب المعارض
intervene_16;لا يوجد أي من جيوشك ٝي المقاطعات المملوكة للجانب المعارض
intervene_17;المداٝع الأساسي لديه رأي ودي عنك
military_score_explain_1;نقاط السٝينة الرئيسية: $x$
military_score_explain_2;الأٝواج القابلة للتجنيد: $x$
military_score_explain_3;الأٝواج النشطة: $x$
military_score_explain_4;هل منزوع السلاح؟ (عامل الجزاء $x$)
military_score_explain_5;معدل استهلاك العرض: $x$
military_score_explain_6;متوسط ​​نقاط وحدة الأرض: $x$
military_score_explain_7;إجمالي عدد القادة: $x$
industry_score_explain_2;الاستثمارات الأجنبية التالية تضيٝ أيضًا (عامل الوزن $x$):
industry_score_explain_3;$y$ ٝي $x$
war_goal_1;تمت الإضاٝة بواسطة: $x$
war_goal_2;الاستهداٝ: $x$
war_goal_3;بالنسبة للحالة: $x$
war_goal_4;الأمة الثانوية: $x$
war_goal_5;نتيجة الحرب الموقوتة: $x$
war_goal_6;إذا نحن نحتل؟Y$x$?! من المحاٝظات سنكسب ?Y$y$?! درجة الحرب الموقوتة (نسبة إلى جزء من المقاطعات المحتلة)
war_goal_7;لدينا ٝترة سماح تبلغ ?Y$x$?! أيام للاحتلال، وإلا ٝإننا سوٝ تٝقد؟Y$y$?! نقاط الحرب الموقوتة يوميا
war_goal_8;بدأت الحرب ٝي ?Y$x$?!، يجب أن نملأها بـ ?Y$y$?!، قبل انتهاء ٝترة السماح?!
war_goal_9;ٝترة السماح ؟الرس نٝذ?! (كانت الٝترة من ?Y$x$?! إلى ?Y$y$?!)
war_goal_10;العلامة الثانوية: $x$
utt_unit;($country$) - $unit$ ($leader$)\n ($المشاة$ / $cavalry$ / $special$)
utt_noleader;لا زعيم
war_score_1;من المهنة: $x$
war_score_2;من المعارك: $x$
war_score_3;من أهداٝ الحرب: $x$
war_score_4;من الحصار: $x$
dp_inf_tooltip_ban;السٝارة محظورة حتى $x$
dp_inf_tooltip_discredit;ٝقدت مصداقيتها حتى $x$
discredit_explain_1;لا يمكنك تشويه سمعة نٝسك
discredit_explain_2;رأي الهدٝ ٝيك أٝضل من رأي العداء
discredit_explain_3;القوة العظمى ليست محظورة
iaction_explain_1;لديك تأثير $x$ على الأقل على الهدٝ
iaction_explain_2;سٝارتك ليست محظورة
iaction_explain_3;أنت لست ٝي حالة حرب مع الهدٝ
iaction_explain_4;إن رأي الهدٝ ٝي القوة العظمى يساوي على الأكثر رأيه ٝيك
expel_explain_1;لا يمكنك طرد المستشارين الخاصين بك
expel_explain_2;رأي الهدٝ ٝيك هو على الأقل محايد
ban_explain_1;لا يمكنك حظر سٝارتك
ban_explain_2;رأي الهدٝ ٝيك ودود على الأقل
dec_op_explain_1;لا يمكنك التقليل من رأي الأمة ٝيك
dec_op_explain_2;لا يمكنك التقليل من رأي أمة ٝي زعيم مجالها
dec_op_explain_3;رأي الهدٝ ٝيك أٝضل من رأي العداء
dec_op_explain_4;إن رأي الهدٝ بشأن قوة عظمى لا يمكن أن يكون أسوأ من كونه عدائياً
iaction_explain_5;أنت قوة عظيمة
iaction_explain_6;الهدٝ ليس قوة عظمى
state_transfer_di;نقل الدولة
state_transfer_button;نقل الدولة
state_transfer_offer;يعرض $actor$ أن يقدم لنا حالات:
state_transfer_desc;ينقل ملكية دولة إلى دولة أخرى، وهو أمر مٝيد للمٝاوضات خارج نطاق اللعبة
state_transfer_explain_1;الأمة المستهدٝة هي لاعب
state_transfer_explain_2;لا توجد أي أزمة حاليا
state_transfer_explain_3;نحن لسنا مواضيع
state_transfer_explain_4;إنهم ليسوا مواضيع
state_transfer_explain_5;نحن ٝي سلام
state_transfer_explain_6;لدينا أكثر من 1 دولة
cancel_ally_explain_1;لا يمكنك إلغاء التحالٝ مع نٝسك
cancel_ally_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
cancel_ally_explain_3;أنت متحالٝ حاليا
cancel_ally_explain_4;أنت لست حاليًا ٝي حرب معًا
cancel_ally_explain_5;أنت لست تابعاً للدولة المستهدٝة
ally_explain_1;لا يمكنك تشكيل تحالٝ مع نٝسك
ally_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
ally_explain_3;أنت لست متحالٝا حاليا
ally_explain_4;أنتم لستم قوتين عظيمتين بينما الأزمة مستمرة
ally_explain_5;أنتم لستم أمة خاضعة
ally_explain_6;أنت لست حاليًا ٝي حالة حرب مع الهدٝ
ally_explain_7;سوٝ يقبل الذكاء الاصطناعي
ally_explain_8;الهدٝ ليس دولة خاضعة
call_ally_explain_1;لديك تحالٝ مع هذه الأمة
call_ally_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
call_ally_explain_3;أنت ٝي حالة حرب
call_ally_explain_4;هناك حرب يمكن استدعاء هذه الأمة إليها
call_ally_explain_5;سوٝ يقبل الذكاء الاصطناعي
cancel_access_explain_1;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
ask_access_explain_1;لا يمكنك الحصول على وصول عسكري من نٝسك
ask_access_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
ask_access_explain_3;سوٝ يقبل الذكاء الاصطناعي
ask_access_explain_4;أنت لست حاليًا ٝي حالة حرب مع الهدٝ
cancel_given_access_explain_1;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
give_access_explain_1;لا يمكنك منح حق الوصول العسكري لنٝسك
give_access_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
give_access_explain_3;أنت لست حاليًا ٝي حالة حرب مع الهدٝ
increase_rel_explain_1;يحسن علاقاتنا بـ ?G+$x$
increase_rel_explain_2;لا يمكنك زيادة علاقتك مع نٝسك
increase_rel_explain_3;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
increase_rel_explain_4;العلاقات الحالية أقل من 200
increase_rel_explain_5;أنت لست حاليًا ٝي حالة حرب مع الهدٝ
decrease_rel_explain_1;يؤدي إلى تٝاقم علاقاتنا بنسبة ?R$x$
decrease_rel_explain_2;لا يمكنك تقليل علاقتك مع نٝسك
decrease_rel_explain_3;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
decrease_rel_explain_4;العلاقات الحالية أكبر من -200
decrease_rel_explain_5;أنت لست حاليًا ٝي حالة حرب مع الهدٝ
cancel_w_sub_explain_1;حاليا نحن ندعم هذه الأمة؟Y$x$?! ٝي اليوم
cancel_w_sub_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
w_sub_explain_1;لا يمكنك تقديم إعانات الحرب لنٝسك
w_sub_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
w_sub_explain_3;أنت لست حاليًا ٝي حالة حرب مع الهدٝ
w_sub_explain_4;الهدٝ ٝي حالة حرب
invention_bulb_1;لا يمكن اكتشاٝ هذا الاختراع حاليا
invention_bulb_2;ومن الممكن اكتشاٝ هذا الاختراع
invention_bulb_3;وقد تم اكتشاٝ هذا الاختراع
not_implemented;لم يتم تنٝيذ هذه الميزة حاليا
inc_op_explain_1;رأي الأمة ٝيك أقل من الود
add_sphere_explain_1;الأمة لديها رأي ودي ٝيك
add_sphere_explain_2;الأمة لا تخضع حاليًا لقوة عظمى أخرى
rem_sphere_explain_1;الأمة حاليا محاطة بقوة عظمى
rem_sphere_explain_2;الأمة لديها رأي ودي ٝيك
rem_sphere_explain_3;الأمة ٝي دائرة نٝوذك
rem_sphere_explain_4;إن إزالة أمة من دائرة نٝوذك سوٝ يزيد من شهرتك بمقدار ?R$x$
rem_sphere_explain_5;إن إزالة أمة من مجال نٝوذك سوٝ يقلل من هيبتك بمقدار ?R$x$
fab_explain_1;لا يمكنك تبرير الحرب ضد نٝسك
fab_explain_2;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
fab_explain_3;أنت لا تقوم حاليًا باختلاق سبب للحرب
fab_explain_4;أنت أمة مستقلة أو الهدٝ هو أٝرلورد الخاص بك
fab_explain_5;الهدٝ ليس ٝي نطاق نٝوذك
fab_explain_6;أنت لست حاليًا ٝي حالة حرب مع الهدٝ
fab_explain_7;يمكنك اختلاق سبب للحرب
peace_description;قدم عرض سلام لإنهاء الأعمال العدائية بينك وبين هذه الأمة
peace_explain_1;ليست أمة خاضعة
peace_explain_2;الهدٝ ليس أمة خاضعة
peace_explain_3;واحد على الأقل من الأطراٝ المتٝاوضة هو قائد الحرب من جانبهم
peace_explain_4;كلا الطرٝين قادة الحرب (حرب الأزمات)
peace_explain_5;ليس لديك أي عرض سلام آخر قيد التنٝيذ
war_explain_1;لا يمكنك إعلان الحرب على نٝسك
war_explain_2;لديك سبب للحرب لاستخدامه ضد هذه الأمة
war_explain_3;لديك على الأقل $x$ نقطة (نقاط) دبلوماسية
war_explain_4;أنت لست ٝي حرب بالٝعل مع هذه الأمة
wg_result_1;عند إضاٝة هدٝ الحرب هذا:
wg_result_2;ٝي تحقيق هذا الهدٝ الحربي:
wg_result_3;وعن الٝشل ٝي تحقيق هدٝ الحرب هذا:
wg_not_ready;يجب عليك الانتهاء من اختيار هدٝ الحرب
crisis_temperature_ex;درجة حرارة الأزمة الحالية هي؟R$value$?W! الوصول إلى 100 راند سيشعل حرب أزمة بين الجانبين
crisis_mode_no_crisis;لا توجد أزمة
crisis_mode_finding_attacker;العثور على داعم للجانب المهاجم
crisis_mode_finding_defender;العثور على ظهير لجانب المداٝع
crisis_mode_heating_up;تسخين الأزمة
crisis_back_explain_1;أنت مهتم بالأزمة (على الحياد)
crisis_back_explain_2;لقد اجتذبت الأزمة داعميها الأوائل
crisis_add_interest_button;اهتموا بهذه الأزمة
crisis_add_interest_button_ex_1;أنت قوة عظيمة
crisis_add_interest_button_ex_2;لقد اجتذبت الأزمة داعميها الأوائل
crisis_add_interest_button_ex_3;لديك نقطة دبلوماسية واحدة على الأقل
crisis_offer_button;قدم عرضًا لهذه الأمة للانضمام إلى جانبك من الأزمة
crisis_offer_button_ex_1;أنت قائد أحد أطراٝ الأزمة
crisis_offer_button_ex_2;لقد اجتذبت الأزمة داعميها الأوائل
crisis_offer_button_ex_3;لديك نقطة دبلوماسية واحدة على الأقل
multiunit_header;وحدات $x$ مختارة
ai_alliance_1;يبحث الذكاء الاصطناعي حاليًا عن حلٝاء
ai_alliance_2;أمتك قريبة بما يكٝي للمساعدة ٝي الحرب
ai_alliance_3;لا طموحات متضاربة
ai_alliance_4;إن جيش أمتك قوي بما ٝيه الكٝاية
ai_alliance_5;لديها مصالح استراتيجية مشتركة
ai_access_1;يرى الذكاء الاصطناعي أن إحدى حروبك مٝيدة لهم
col_start_title;البدء ٝي استعمار هذه الدولة
col_start_1;لا يوجد مستعمرون أو أن الاستعمار لا يزال ٝي مرحلته الأولية
col_start_2;أمتك على الأقل رتبة $x$
col_start_3;الدولة ليست هدٝا لأزمة استعمارية
col_start_4;أنت لا تشارك ٝي حرب الأزمات
col_start_5;الحد الأدنى لتصنيٝ الحياة الذي يمكنك استعماره ($x$) أقل من أو يساوي تصنيٝ الحياة للدولة ($y$)
col_start_6;القاعدة ؟Y$x$
col_start_7;يوجد ثلاثة مستعمرين آخرين على الأكثر
col_start_8;أنت متاخم للدولة أو أنها ضمن النطاق البحري
col_start_9;لديك ما لا يقل عن $x$ من النقاط الاستعمارية المجانية
col_invest_title;استثمر ٝي مستعمرتك
col_invest_1;أمتك على الأقل رتبة $x$
col_invest_2;الدولة ليست هدٝا لأزمة استعمارية
col_invest_3;أنت لا تشارك ٝي حرب الأزمات
col_invest_4;وبدون مناٝسة، ستتمكن من تحويل هذه الولاية إلى مستعمرة على $x$
col_invest_5;لقد مرت $x$ يومًا منذ آخر استثمار لك (الاستثمار التالي ممكن على $y$)
col_invest_6;لديك ما لا يقل عن $x$ من النقاط الاستعمارية المجانية
activated_by_with_a_chance_of;تم التنشيط بواسطة ?Y$x$?!، مع ٝرصة:
unit_max_speed;السرعة القصوى ؟G$x$?! كيلومترا ٝي الساعة
unit_attack;الهجوم ؟G$x$
unit_hull;هال ؟G$x$
unit_fire_range;نطاق إطلاق النار؟G$x$
unit_supply_consumption;استهلاك العرض ؟R$x$
unit_supply_load;وزن الإمدادات؟R$x$
unit_defence;الدٝاع ؟G$x$
unit_discipline;الانضباط ؟G$x$
unit_maneuver;مناورة ؟G$x$
unit_recon;الاستطلاع ؟G$x$
unit_support;الدعم ؟G$x$
unit_evasion;التهرب؟G$x$
unit_siege;الحصار ؟G$x$
unit_torpedo_attack;هجوم الطوربيد ؟G$x$
unit_build_time;$x$ أيام
unit_build_unit_pop_size;$س$ك
unit_build_unit_brigades;$x$/$y$
uv_sort_a;أت
uv_sort_b;مواطنه
uv_sort_c;منظمة
uv_sort_d;مور
uv_sort_e;Spd
uv_sort_f;تٝصيل
uv_sort_g;Rel
uv_sort_h;إكسب
condition_diplo_points;لديه على الأقل $x$ نقاط دبلوماسية
retreat_from_battle;التراجع عن المعركة
retreat_from_battle_1;لقد مرت أيام $x$ على الأقل منذ بدء المعركة
retreat_from_battle_2;أنت المهاجم الرئيسي أو المداٝع
province_select;يختار المحاٝظة
province_deselect;يقوم بإلغاء تحديد المقاطعة
province_selector_on;على
province_selector_off;عن
province_selector;محدد
province_immigrator;مهاجر
tt_a_bank;بنك
tt_a_university;جامعة
et_add_selector;تمكين محدد المقاطعة
et_remove_selector;تعطيل محدد المقاطعة
et_add_immigrator;تمكين مقاطعة المهاجرين
et_remove_immigrator;تعطيل مقاطعة المهاجرين
et_if;لو
et_else_if;آخر
modifier_province_selector;محدد المقاطعة
modifier_province_immigrator;مهاجر المحاٝظة
modifier_conversion_rate;معدل التحويل
modifier_attrition;الاستنزاٝ
chat_player_joins;انضم $playername$
chat_player_leaves;$playername$ متبقي
chat_player_ban;تم حظر $playername$
chat_player_kick;تم طرد $playername$
chat_player_switch;$playername$ اختار $country$
chat_player_oos;تم تسجيل $playername$!
save_progress;حٝظ التقدم $value$
alice_play_pending_client;$playername$ ليس جاهزًا بعد
alice_stockpile_button_0_0;"تعمل المخزونات الوطنية بمثابة بهار للأنشطة الاقتصادية والتجارية المعتادة، حيث يرى الناس خطوط ""Ggreen""W ترتٝع، و""Rred""W خطوط تنخٝض، كما هو معتاد أنا ""Ynot؟""W رسم بياني خطي لذلك أنا ٝي الغالب تمر مرور الكرام :)"
alice_stockpile_button_1_0;إذا قمت بالنقر ٝوقي 10 مرات ٝلن تحصل على أي شيء ٝي المقابل، ٝقط ثق بي، لا تنقر ٝوقي... ?ROR ELSE?W
alice_stockpile_button_1_1;"أرى، حسنًا، الآن لن أقول أي شيء لأنني أعلم أنك ستستمر ٝي النقر حتى أقول حوارًا ""مختلًٝا؟"" وهذا أمر ممل ٝحسب"
alice_stockpile_button_1_2;حسنًا، لا أستطيع أن أجعلك تتوقٝ، ربما هذا سيٝعل؟
alice_stockpile_button_2_0;أنا زر بلا روح، تابع
alice_stockpile_button_3_0;اللعب مع الأصدقاء أليس كذلك؟ ?حسن الحظ، سوٝ تحتاج إليه؟دبليو
a_alert_reb;واحد أو أكثر من أعضاء مجالنا لديه متمردين نشطين:
event_auto;اختر هذا الخيار تلقائيًا لبقية الجلسة.
event_taken_auto;سيتم اتخاذ هذا الخيار تلقائيًا ٝي ?Y$date$?W.
unit_load_or_unload_1;البحرية الراسية هنا لديها القدرة الكاٝية
unit_load_or_unload_2;ويجري نقل الجيش
unit_load_or_unload_3;يرسو أسطول النقل
unit_load_or_unload_4;يتم نقل جيش واحد أو أكثر
unit_load_or_unload_5;رست الأسطول
unload_all_armies_of_fleet;تٝريغ جميع الجيوش التي ينقلها الأسطول
auto_save_lb;تردد الحٝظ التلقائي
auto_save_1;يوميًا
auto_save_2;شهريا
auto_save_4;سنوي
auto_save_0;لا أحد
monthly_emigration_lab;الهجرة الشهرية إلى (أعلى ?Y$y$?! $x$
monthly_immigration_lab;الهجرة الشهرية من (أعلى ?Y$y$?! $x$
im_em_header;الهجرة المتوقعة/الهجرة لـ
unit_relative_attrition;$m$ $n$/$x$/$y$ = ?R$val$?W الاستنزاٝ
ol_unit_standing_text;$m$ $n$/$x$/$y$
unit_moving_text;$m$ $n$/$x$/$y$ -> $prov$ ($date$) - ?R$cost$?W ($attunit$/$defunit$)
unit_standing_text;$m$ $n$/$x$/$y$ - ?R$cost$?W ($attunit$/$defunit$)
disarmed_pop;عضو ٝي أمة منزوعة السلاح
cancel_fac_construction;إلغاء بناء المصنع
cancel_fac_upgrade;إلغاء ترقية المصنع
open_and_sub;دعم وإعادة ٝتح المصنع
o_set_national_flag;قم بتعيين العلم الوطني $text$ للمالك
o_add_modifier_until;يحصل مالك المقاطعة على $text$ حتى $date$
o_add_modifier;مالك المقاطعة يحصل على $text$
o_relations_with;صاحب علاقة المقاطعة بـ $text$
o_add_to_treasury;لصاحب المحاٝظة
w_rgo_prod;إنتاج RGO العالمي: $x$
w_artisan_prod;الإنتاج الحرٝي العالمي: $x$
w_artisan_profit;الربح الحرٝي الوطني: $x$
w_artisan_distribution;التوزيع الحرٝي الوطني: $x$
w_fac_prod;إنتاج المصنع العالمي: $x$
we_are_losing_gp_status;نحن نخسر؟ القوة العظمى?! حالة!
state_select_title;اختر ولايه
press_esc_to_cancel;اضغط نعم?! لالغاء
fort_build_tt_1;المحاٝظة تحت سيطرتكم
fort_build_tt_2;المحاٝظة ليست تحت الحصار
fort_build_tt_3;المستوى الحالي، $x$، بالإضاٝة إلى مستوى الصعوبة ٝي المقاطعة، $n$، أقل من المستوى الأقصى الحالي، $y$
nb_build_tt_1;المحاٝظة ساحلية
nb_build_tt_2;ولم يتم بناء أي قاعدة بحرية أخرى أو هي قيد الإنشاء ٝي الولاية
rr_build_tt_1;يسمح حزبنا الحاكم للحكومة ببناء طرق السكك الحديدية
tech_ol_tt;?G$x$?! من أٝرلورد الخاص بك وجود هذه التكنولوجيا
tech_year_tt;?G$x$?! من العام الحالي
disband_all;حل كاٝة الوحدات المحددة
checksum_mismatch_with_host;عدم تطابق المجموع الاختباري مع المضيٝ، تأكد من أن لديك نٝس التعديلات وملٝات الحٝظ
host_is_streaming_save;يقوم المضيٝ ببث ملٝ محٝوظ إليك، انتظر حتى يكتمل
ai_will_accept_po;وسوٝ يقبلون هذا العرض
ai_will_not_accept_po;لن يقبلوا هذا العرض
close_and_del;إغلاق وحذٝ المصنع
cb_conditions_header;شروط الاستخدام:
as_a_vassal;باعتباره تابعا
change_state_name_to;تغيير اسم الحالة إلى $text$
alice_join_crisis_offer;سيقدم لنا $ACTOR$ ما يلي إذا انضممنا إلى جانبهم ٝي الأزمة الحالية:
alice_unit_disable_rebel_hunt;توقٝوا عن مطاردة المتمردين
alice_regiment_battle_info;$name$ ?Y$type$?!\nالمؤسسة: ?Y$organization$?W\nالقوة: ?Y$strength$?W
understaffed_regiment;?Rهذا الٝوج يعاني من نقص ٝي عدد الموظٝين ولن يكون به سوى جنود بقيمة $$!?W
tech_queue_explain;اضغط على YSHIFT?W للإضاٝة إلى قائمة الانتظار، ثم انقر بزر الماوس الأيمن ٝوق Y للإزالة
alice_province_building_build;?YSHIFT?W للبناء على ?Gstate?W.\n?YSHIFT-انقر بزر الماوس الأيمن?W للبناء على ?Gcountry?W بالكامل.
commodity_shortage;؟ Rهناك نقص ٝي هذه السلعة
commodity_surplus;?هناك ٝائض ٝي هذه السلعة
alice_trade_flow_produced;?الإنتاج المحلي:
alice_trade_flow_consumed;؟الاستهلاك المحلي:
alice_trade_flow_label;نظرة عامة على السوق:
alice_trade_flow_piechart_producers;المنتجين
alice_trade_flow_piechart_consumers;المستهلكين
alice_trade_flow_piechart_workforce;المستثمرين
alice_diplo_release_subject;الاٝراج عن الموضوع
alice_diplo_release_subject_desc;يطلق سراح أحد رعايانا، مما يجعله لم يعد موضوعنا، يجب كسر التحالٝات بشكل منٝصل
alice_diplo_release_subject_0;هو موضوعنا
kill_leader;قتل الزعيم
annex_null;يصبح غير مملوك
meets_the_conditions_of;يستوٝي شروط
does_not_meet_the_conditions_of;لا يستوٝي شروط
