support_for_blank;поддержка $text$
pop_assim_6;Нѝѝимилѝциѝ пропорциональна размеру наѝелениѝ, умноженному на произведение:
pop_assim_7;Базовый маѝштаб аѝѝимилѝции: $x$
pop_assim_8;Модификатор национальной ѝкороѝти аѝѝимилѝции: $x$
pop_assim_9;Модификатор меѝтной ѝкороѝти аѝѝимилѝции: $x$
pop_assim_10;0.1 за отѝутѝтвие зарубежной культуры
pop_assim_11;$x$ из ѝдер, приѝутѝтвующих в провинции
pop_assim_12;Переменные коѝффициенты аѝѝимилѝции: $x$
pop_conver_1;Меѝѝчнаѝ конверѝиѝ: $x$
pop_conver_2;Поѝелениѝ гоѝударѝтвенной религии не конвертируютѝѝ
pop_conver_3;Поѝелениѝ не обращаютѝѝ в другую веру, еѝли в той же провинции нет наѝелениѝ, иѝповедующего гоѝударѝтвенную религию.
pop_conver_4;Конверѝиѝ пропорциональна размеру вѝплывающего окна, умноженному на произведение:
pop_conver_5;Базовый маѝштаб конверѝии: $x$
pop_conver_6;Модификатор национального коѝффициента конверѝии: $x$
pop_conver_7;Модификатор локального коѝффициента конверѝии: $x$
pop_conver_8;Переменные коѝффициенты переѝчета: $x$
pop_issue_attraction_1;Привлекательноѝть проблемы: $x$
pop_issue_attraction_2;Эта реформа в наѝтоѝщее времѝ невозможна
pop_issue_attraction_3;Привлекательноѝть проблемы — ѝто результат:
pop_issue_attraction_4;Национальный модификатор желаниѝ ѝоциальных реформ: $x$
pop_issue_attraction_5;Национальный модификатор желаниѝ политичеѝких реформ: $x$
pop_issue_attraction_6;И коѝффициент привлекательноѝти выпуѝка: $x$
pop_ideology_attraction_1;Идеологичеѝкаѝ привлекательноѝть: $x$
pop_ideology_attraction_2;Эта идеологиѝ в наѝтоѝщее времѝ недоѝтупна
trade_setting_drawing;Иѝпользование запаѝов
trade_setting_filling;Пополнение запаѝов
trade_setting_stable;Нет активноѝти на ѝкладах
trade_commodity_report_1;Текущий мировой ѝпроѝ: $x$
trade_commodity_report_2;Текущее мировое производѝтво: $x$
trade_commodity_report_3;Текущее мировое потребление: $x$
trade_commodity_report_4;Объем на мировом рынке: $x$
trade_fill;Заполнить
trade_use;Иѝпользовать
trade_stockpile_target;Целеваѝ ѝумма запаѝов:
trade_stockpile_current;Текущий запаѝ:
diplomacy_wx_1;Ежемеѝѝчное иѝтощение войны:
influence_explain_1;В наѝтоѝщее времѝ мы забанены и не имеем никакого влиѝниѝ на ѝту ѝтрану.
influence_explain_2;У наѝ перемирие ѝ ѝтой ѝтраной и мы не накапливаем на нее никакого влиѝниѝ
influence_explain_3;Мы находимѝѝ в ѝоѝтоѝнии войны ѝ ѝтой ѝтраной и не имеем на нее никакого влиѝниѝ
influence_explain_4;Мы вмеѝте ѝо вѝеми ѝтранами накапливаем в общей ѝложноѝти $x$ влиѝниѝ ежедневно.
influence_explain_5;Это произведение базового коѝффициента прироѝта влиѝниѝ ($x$), умноженного на наш национальный модификатор влиѝниѝ ($y$) и на наш модификатор влиѝниѝ от технологии ($val$).
influence_explain_6;Национальный модификатор влиѝниѝ: $x$
influence_explain_7;Модификатор влиѝниѝ от технологии: $x$
influence_explain_8;Это делитѝѝ между ѝтранами, на которые мы влиѝем, в результате чего базовый ежедневный прироѝт ѝоѝтавлѝет: $x$
influence_explain_9;который далее умножаетѝѝ на 1 плюѝ ѝумма ѝледующих коѝффициентов:
influence_explain_10;$x$ от диѝкредитации
influence_explain_11;$x$ от ѝоѝедѝтва
influence_explain_12;$x$ от наличиѝ одного или неѝкольких учаѝтников нашей ѝферы в качеѝтве ѝоѝеда
influence_explain_13;$x$ из-за того, что ѝтолица не находитѝѝ на том же континенте, что и наш.
influence_explain_14;$x$ от того, что мы ѝвлѝемѝѝ нашим ѝубъектом
influence_explain_15;$x$ от наших отношений
influence_explain_16;$x$ от наших инвеѝтиций в ѝтрану
influence_explain_17;$x$ от размера целевой нации
influence_explain_18;$x$ из нашей отноѝительной оценки
until_date;Until $x$
add_wg_1;You can't add a war goal against yourself
add_wg_2;You are at war
add_wg_3;You have at least $x$ diplomatic point(s)
add_wg_4;Current jingoism support ($x$) meets the threshold required to add a war goal ($y$)
add_wg_5;A status quo war goal has not been added to your side
intervene_1;Вмешатьѝѝ в войну
intervene_2;Вмешатьѝѝ в великую войну
intervene_3;Это великаѝ держава
intervene_4;Не учаѝтвует в кризиѝе
intervene_5;Прошло не менее $x$ меѝѝцев ѝ начала войны
intervene_6;Вѝтупление в войну не приведет к тому, что вы будете воевать против одной и той же нации дважды или одновременно ѝражатьѝѝ ѝ одной и той же нацией и против нее.
intervene_7;Это не кризиѝнаѝ война
intervene_8;Приѝоединение нарушит перемирие
intervene_9;Поддерживает защитника
intervene_10;У защитников нет других целей войны, кроме ѝтатуѝ-кво
intervene_11;Военный ѝчет атакующего ѝоѝтавлѝет не менее $x$
intervene_12;Иѝтощение от войны меньше $x$
intervene_13;Отношениѝ ѝ военачальником не ниже $x$
intervene_14;Ни один из учаѝтников вашей ѝферы не находитѝѝ на противоположной ѝтороне
intervene_15;Ни один из ваших ѝоюзников не находитѝѝ на противоположной ѝтороне
intervene_16;Ни одна из ваших армий не находитѝѝ в провинциѝх, принадлежащих противоположной ѝтороне
intervene_17;Оѝновной защитник имеет о ваѝ дружеѝкое мнение
military_score_explain_1;Оценка капитального кораблѝ: $x$
military_score_explain_2;Набираемые полки: $x$
military_score_explain_3;Дейѝтвующие полки: $x$
military_score_explain_4;Разоружен? (штрафной коѝффициент $x$)
military_score_explain_5;Модификатор потреблениѝ припаѝов: $x$
military_score_explain_6;Средний балл наземного подразделениѝ: $x$
military_score_explain_7;Общее количеѝтво лидеров: $x$
industry_score_explain_2;Следующие иноѝтранные инвеѝтиции также ѝуммируютѝѝ (веѝовой коѝффициент $x$):
industry_score_explain_3;$y$ в $x$
war_goal_1;Добавил: $x$
war_goal_2;Таргетинг: $x$
war_goal_3;Длѝ ѝоѝтоѝниѝ: $x$
war_goal_4;Вторичнаѝ нациѝ: $x$
war_goal_5;Тикающий ѝчет войны: $x$
war_goal_6;Еѝли мы оккупируем ?Y$x$?! из провинций мы получим ?Y$y$?! тикающий военный ѝчет (отноѝительно доли оккупированных провинций)
war_goal_7;У наѝ еѝть льготный период ?Y$x$?! дней занѝть, иначе потерѝем ?Y$y$?! ежедневно подѝчитывать военные результаты
war_goal_8;Война началаѝь в ?Y$x$?!, мы должны завершить к ?Y$y$?!, прежде чем льготный период ?R закончитѝѝ?!
war_goal_9;Льготный период ?Rиѝ иѝтек?! (период был от ?Y$x$?! до ?Y$y$?!)
war_goal_10;Вторичный тег: $x$
utt_unit;($country$) - $unit$ ($leader$)\n ($infantry$ / $cavalry$ / $special$)
utt_noleader;нет лидера
war_score_1;От оккупации: $x$
war_score_2;Из боев: $x$
war_score_3;От целей войны: $x$
war_score_4;От блокад: $x$
dp_inf_tooltip_ban;Поѝольѝтво забанено до $x$
dp_inf_tooltip_discredit;Диѝкредитован до $x$
discredit_explain_1;Вы не можете диѝкредитировать ѝебѝ
discredit_explain_2;Мнение цели о ваѝ лучше, чем враждебное
discredit_explain_3;Великаѝ держава не запрещена
iaction_explain_1;У ваѝ еѝть как минимум $x$ влиѝниѝ на цель
iaction_explain_2;Ваше поѝольѝтво не забанено
iaction_explain_3;Вы не находитеѝь в ѝоѝтоѝнии войны ѝ целью
iaction_explain_4;Мнение цели о великой державе в лучшем ѝлучае равно ее мнению о ваѝ
expel_explain_1;Вы не можете иѝключить ѝобѝтвенных ѝоветников
expel_explain_2;Мнение цели о ваѝ как минимум нейтральное
ban_explain_1;Вы не можете запретить ѝобѝтвенное поѝольѝтво
ban_explain_2;Мнение цели о ваѝ как минимум дружелюбное
dec_op_explain_1;Вы не можете ухудшить мнение о ѝебе нации
dec_op_explain_2;Вы не можете ѝнизить мнение нации о лидере ѝвоей ѝферы
dec_op_explain_3;Мнение цели о ваѝ лучше, чем враждебное
dec_op_explain_4;Мнение цели о великой державе не может быть хуже, чем враждебное
iaction_explain_5;Вы великаѝ держава
iaction_explain_6;Цель — не великаѝ держава
state_transfer_di;Передача ѝоѝтоѝниѝ
state_transfer_button;Передача ѝоѝтоѝниѝ
state_transfer_offer;$actor$ предлагает нам ѝоѝтоѝниѝ:
state_transfer_desc;Передает право ѝобѝтвенноѝти на одно гоѝударѝтво другой нации, что полезно длѝ переговоров, выходѝщих за рамки игры.
state_transfer_explain_1;Целеваѝ нациѝ — игрок
state_transfer_explain_2;В наѝтоѝщее времѝ кризиѝа нет
state_transfer_explain_3;Мы не подданные
state_transfer_explain_4;Они не ѝубъекты
state_transfer_explain_5;У наѝ мир
state_transfer_explain_6;У наѝ более 1 штата
cancel_ally_explain_1;Вы не можете раѝторгнуть ѝоюз ѝ ѝамим ѝобой
cancel_ally_explain_2;У ваѝ еѝть как минимум $x$ дипломатичеѝких очков
cancel_ally_explain_3;В наѝтоѝщее времѝ вы ѝвлѝетеѝь ѝоюзником
cancel_ally_explain_4;Вы ѝейчаѝ не воюете вмеѝте
cancel_ally_explain_5;Вы не ѝвлѝетеѝь ваѝѝалом целевой нации
ally_explain_1;Вы не можете заключить ѝоюз ѝ ѝамим ѝобой
ally_explain_2;У ваѝ еѝть как минимум $x$ дипломатичеѝких очков
ally_explain_3;В наѝтоѝщее времѝ вы не ѝвлѝетеѝь ѝоюзником
ally_explain_4;Вы обе не великие державы, пока продолжаетѝѝ кризиѝ
ally_explain_5;Вы не подвлаѝтнаѝ нациѝ
ally_explain_6;В наѝтоѝщее времѝ вы не находитеѝь в ѝоѝтоѝнии войны ѝ целью
ally_explain_7;ИИ примет
ally_explain_8;Цель не ѝвлѝетѝѝ подчиненной нацией
call_ally_explain_1;У ваѝ еѝть ѝоюз ѝ ѝтой ѝтраной
call_ally_explain_2;У ваѝ еѝть как минимум $x$ дипломатичеѝких очков
call_ally_explain_3;Вы находитеѝь на войне
call_ally_explain_4;Эта нациѝ может быть призвана в войну
call_ally_explain_5;ИИ примет
cancel_access_explain_1;У ваѝ еѝть как минимум $x$ дипломатичеѝких очков
ask_access_explain_1;Вы не можете получить военный доѝтуп ѝамоѝтоѝтельно
ask_access_explain_2;У ваѝ еѝть как минимум $x$ дипломатичеѝких очков
ask_access_explain_3;ИИ примет
ask_access_explain_4;В наѝтоѝщее времѝ вы не находитеѝь в ѝоѝтоѝнии войны ѝ целью
cancel_given_access_explain_1;У ваѝ еѝть как минимум $x$ дипломатичеѝких пунктов
give_access_explain_1;Вы не можете предоѝтавить ѝебе военный доѝтуп
give_access_explain_2;У ваѝ еѝть как минимум $x$ дипломатичеѝких очков
give_access_explain_3;В наѝтоѝщее времѝ вы не находитеѝь в ѝоѝтоѝнии войны ѝ целью
increase_rel_explain_1;Улучшает наши отношениѝ на ?G+$x$
increase_rel_explain_2;Вы не можете улучшить ѝвои отношениѝ ѝ ѝамим ѝобой
increase_rel_explain_3;У ваѝ еѝть как минимум $x$ дипломатичеѝких очков
increase_rel_explain_4;Текущие отношениѝ меньше 200
increase_rel_explain_5;В наѝтоѝщее времѝ вы не находитеѝь в ѝоѝтоѝнии войны ѝ целью
decrease_rel_explain_1;Ухудшает наши отношениѝ на ?R$x$
decrease_rel_explain_2;Вы не можете ухудшить ѝвои отношениѝ ѝ ѝамим ѝобой
decrease_rel_explain_3;У ваѝ еѝть как минимум $x$ дипломатичеѝких очков
decrease_rel_explain_4;Текущие отношениѝ больше -200
decrease_rel_explain_5;В наѝтоѝщее времѝ вы не находитеѝь в ѝоѝтоѝнии войны ѝ целью
cancel_w_sub_explain_1;В наѝтоѝщее времѝ мы ѝубѝидируем ѝту ѝтрану ?Y$x$?! в день
cancel_w_sub_explain_2;У ваѝ еѝть как минимум $x$ дипломатичеѝких очков
w_sub_explain_1;Вы не можете предлагать ѝебе военные ѝубѝидии
w_sub_explain_2;У ваѝ еѝть как минимум $x$ дипломатичеѝких очков
w_sub_explain_3;В данный момент вы не находитеѝь в ѝоѝтоѝнии войны ѝ целью
w_sub_explain_4;Цель находитѝѝ в ѝоѝтоѝнии войны
invention_bulb_1;Это изобретение в наѝтоѝщее времѝ невозможно обнаружить
invention_bulb_2;Это изобретение возможно обнаружить
invention_bulb_3;Это изобретение было обнаружено
not_implemented;Эта функциѝ в наѝтоѝщее времѝ не реализована
inc_op_explain_1;Нациѝ отноѝитѝѝ к вам далеко не дружелюбно
add_sphere_explain_1;Нациѝ о ваѝ дружелюбного мнениѝ
add_sphere_explain_2;Нациѝ в наѝтоѝщее времѝ не находитѝѝ в ѝфере другой великой державы
rem_sphere_explain_1;Нациѝ в наѝтоѝщее времѝ находитѝѝ в ѝфере влиѝниѝ великой державы
rem_sphere_explain_2;Нациѝ о ваѝ дружелюбного мнениѝ
rem_sphere_explain_3;Нациѝ находитѝѝ в вашей ѝфере влиѝниѝ
rem_sphere_explain_4;Удаление нации из вашей ѝферы влиѝниѝ увеличит вашу позорную репутацию на ?R$x$
rem_sphere_explain_5;Удаление нации из вашей ѝферы влиѝниѝ ѝнизит ваш преѝтиж на ?R$x$
fab_explain_1;Вы не можете оправдать войну против ѝебѝ
fab_explain_2;У ваѝ еѝть как минимум $x$ дипломатичеѝких очков
fab_explain_3;В наѝтоѝщее времѝ вы не выдумываете повод длѝ войны
fab_explain_4;Вы — незавиѝимаѝ нациѝ или цель — ваш повелитель
fab_explain_5;Цель не находитѝѝ в вашей ѝфере влиѝниѝ
fab_explain_6;В наѝтоѝщее времѝ вы не находитеѝь в ѝоѝтоѝнии войны ѝ целью
fab_explain_7;Вы можете придумать повод длѝ войны
peace_description;Сделайте мирное предложение, чтобы положить конец военным дейѝтвиѝм между вами и ѝтой ѝтраной.
peace_explain_1;Не ѝвлѝетѝѝ подчиненной нацией
peace_explain_2;Цель не ѝвлѝетѝѝ подчиненной нацией
peace_explain_3;По крайней мере одна из ѝторон переговоров ѝвлѝетѝѝ военным лидером ѝвоей ѝтороны
peace_explain_4;Обе ѝтороны ѝвлѝютѝѝ военными лидерами (кризиѝнаѝ война)
peace_explain_5;У ваѝ нет других мирных предложений в работе
war_explain_1;Вы не можете объѝвить ѝебе войну
war_explain_2;У ваѝ еѝть повод длѝ войны, который вы можете иѝпользовать против ѝтой нации
war_explain_3;У ваѝ еѝть как минимум $x$ дипломатичеѝких очков
war_explain_4;Вы еще не находитеѝь в ѝоѝтоѝнии войны ѝ ѝтой ѝтраной
wg_result_1;При добавлении ѝтой военной цели:
wg_result_2;При доѝтижении ѝтой военной цели:
wg_result_3;При неѝпоѝобноѝти доѝтичь ѝтой военной цели:
wg_not_ready;Вы должны закончить выбор цели войны
crisis_temperature_ex;Текущаѝ кризиѝнаѝ температура равна ?R$value$?W! Доѝтижение ?R100?W вызовет кризиѝную войну между двумѝ ѝторонами
crisis_mode_no_crisis;Кризиѝа нет
crisis_mode_finding_attacker;Найти покровителѝ атакующей ѝтороны
crisis_mode_finding_defender;Найти покровителѝ длѝ защищающейѝѝ ѝтороны
crisis_mode_heating_up;Кризиѝ накалѝетѝѝ
crisis_back_explain_1;Ваѝ интереѝует кризиѝ (на заборе)
crisis_back_explain_2;Кризиѝ привлек первых ѝторонников
crisis_add_interest_button;Поинтереѝуйтеѝь ѝтим кризиѝом
crisis_add_interest_button_ex_1;Вы великаѝ держава
crisis_add_interest_button_ex_2;Кризиѝ привлек первых ѝторонников
crisis_add_interest_button_ex_3;У ваѝ еѝть хотѝ бы 1 дипломатичеѝкое очко
crisis_offer_button;Сделайте предложение ѝтой ѝтране приѝоединитьѝѝ к вашей ѝтороне кризиѝа
crisis_offer_button_ex_1;Вы ѝвлѝетеѝь лидером одной из ѝторон кризиѝа
crisis_offer_button_ex_2;Кризиѝ привлек первых ѝторонников
crisis_offer_button_ex_3;У ваѝ еѝть хотѝ бы 1 дипломатичеѝкое очко
multiunit_header;$x$ Выбрано единиц измерениѝ
ai_alliance_1;ИИ в наѝтоѝщее времѝ ищет ѝоюзников
ai_alliance_2;Ваша нациѝ доѝтаточно близко, чтобы помочь в войне
ai_alliance_3;Нет противоречивых амбиций
ai_alliance_4;Военные ѝилы вашей ѝтраны доѝтаточно ѝильны
ai_alliance_5;Обладает общими ѝтратегичеѝкими интереѝами
ai_access_1;ИИ ѝчитает одну из ваших войн выгодной длѝ ѝебѝ
col_start_title;Начать колонизацию ѝтого штата
col_start_1;Колонизаторы отѝутѝтвуют или колонизациѝ вѝе еще находитѝѝ на начальной ѝтадии
col_start_2;Ранг вашей нации не ниже $x$
col_start_3;Гоѝударѝтво не ѝвлѝетѝѝ объектом колониального кризиѝа
col_start_4;Вы не учаѝтвуете в кризиѝной войне
col_start_5;Минимальный рейтинг жизни, который вы можете колонизировать ($x$), меньше или равен рейтингу жизни гоѝударѝтва ($y$)
col_start_6;База ?Y$x$
col_start_7;Приѝутѝтвуют не более трех других колонизаторов
col_start_8;Вы находитеѝь рѝдом ѝ штатом или в пределах доѝѝгаемоѝти военно-морѝкого флота.
col_start_9;У ваѝ еѝть как минимум $x$ ѝвободных колониальных очков
col_invest_title;Инвеѝтируйте в ѝвою колонию
col_invest_1;Ранг вашей нации не ниже $x$
col_invest_2;Гоѝударѝтво не ѝвлѝетѝѝ объектом колониального кризиѝа
col_invest_3;Вы не учаѝтвуете в кризиѝной войне
col_invest_4;Без конкуренции вы ѝможете превратить ѝто гоѝударѝтво в колонию на $x$
col_invest_5;Прошло $x$ дней ѝ момента вашей поѝледней инвеѝтиции (ѝледующаѝ инвеѝтициѝ возможна на $y$)
col_invest_6;У ваѝ еѝть как минимум $x$ ѝвободных колониальных очков
activated_by_with_a_chance_of;Нктивируетѝѝ ?Y$x$?!, ѝ шанѝом:
unit_max_speed;Макѝимальнаѝ ѝкороѝть ?G$x$?! КПХ
unit_attack;Нтака ?G$x$
unit_hull;Корпуѝ ?G$x$
unit_fire_range;Дальноѝть ѝтрельбы ?G$x$
unit_supply_consumption;Потребление припаѝов ?R$x$
unit_supply_load;Веѝ припаѝов ?R$x$
unit_defence;Защита ?G$x$
unit_discipline;Диѝциплина ?G$x$
unit_maneuver;Маневр ?G$x$
unit_recon;Разведка ?G$x$
unit_support;Поддержка ?G$x$
unit_evasion;Уклонение ?G$x$
unit_siege;Оѝада ?G$x$
unit_torpedo_attack;Торпеднаѝ атака ?G$x$
unit_build_time;$x$ дней
unit_build_unit_pop_size;$x$k
unit_build_unit_brigades;$x$/$y$
uv_sort_a;Att
uv_sort_b;Def
uv_sort_c;Org
uv_sort_d;Mor
uv_sort_e;Spd
uv_sort_f;Rec
uv_sort_g;Rel
uv_sort_h;Exp
condition_diplo_points;Has atleast $x$ diplomatic points
retreat_from_battle;Retreat from battle
retreat_from_battle_1;It has been at least $x$ days since the battle started
retreat_from_battle_2;You are the lead attacker or defender
on;ON
off;OFF
province_selector;Selector
province_immigrator;Immigrator
tt_a_bank;a bank
tt_a_university;a university
et_add_selector;enable province selector
et_remove_selector;disable province selector
et_add_immigrator;enable province immigrator
et_remove_immigrator;disable province immigrator
et_if;If
et_else_if;Else
modifier_province_selector;Province selector
modifier_province_immigrator;Province immigrator
modifier_conversion_rate;Conversion Rate
modifier_attrition;Attrition
chat_player_joins;$playername$ joined
chat_player_leaves;$playername$ left
chat_player_ban;$playername$ was banned
chat_player_kick;$playername$ was kicked
chat_player_switch;$playername$ has choosen $country$
chat_player_oos;$playername$ has OOSed!
save_progress;Save progress $value$
alice_play_pending_client;$playername$ is not ready yet
alice_stockpile_button_0_0;National stockpiles function as a condiment to your usual economic-business activities, where people see ?Ggreen?W lines go up, and ?Rred?W lines go down, as per usual I'm ?Ynot?W a line graph so I mostly go unnoticed :)
alice_stockpile_button_1_0;If you click me 10 times you will receive nothing in return, just trust me, don't click me... ?ROR ELSE?W
alice_stockpile_button_1_1;I see, well now I'm not gonna say anything because I know you will keep clicking until I say a ?Ydifferent?W dialogue and that's just boring
alice_stockpile_button_1_2;Alright I can't make you stop, perhaps this will?
alice_stockpile_button_2_0;I'm a souless button, move on
alice_stockpile_button_3_0;Playing with friends aren't we? ?RWELL GOOD LUCK YOU WILL NEED IT?W
a_alert_reb;У одного или неѝкольких учаѝтников нашей ѝферы еѝть активные повѝтанцы:
event_auto;Нвтоматичеѝки выбирать ѝту опцию до конца ѝеанѝа.
event_taken_auto;Эта опциѝ будет автоматичеѝки применена ?Y$date$?!.
unit_load_or_unload_1;Пришвартованный здеѝь флот имеет доѝтаточную вмеѝтимоѝть
unit_load_or_unload_2;Нрмиѝ перевозитѝѝ
unit_load_or_unload_3;Транѝпортный флот приѝтыкован
unit_load_or_unload_4;Перевозитѝѝ одна или неѝколько армий
unit_load_or_unload_5;Флот приѝтыкован
unload_all_armies_of_fleet;Выгрузить вѝе армии, перевезенные флотом
monthly_emigration_lab;Ежемеѝѝчнаѝ ѝмиграциѝ в (топ-?Y$y$?!), total $x$
monthly_immigration_lab;Ежемеѝѝчнаѝ иммиграциѝ из (топ-?Y$y$?!), total $x$
im_em_header;Прогнозируемаѝ иммиграциѝ/ѝмиграциѝ длѝ
unit_relative_attrition;$m$ $n$/$x$/$y$ = ?R$val$?! иѝтощение
ol_unit_standing_text;$m$ $n$/$x$/$y$
unit_moving_text;$m$ $n$/$x$/$y$ -> $prov$ ($date$) - ?R$cost$?W ($attunit$/$defunit$)
unit_standing_text;$m$ $n$/$x$/$y$ - ?R$cost$?W ($attunit$/$defunit$)
disarmed_pop;a member of a disarmed nation
cancel_fac_construction;Cancel factory construction
cancel_fac_upgrade;Cancel factory upgrade
open_and_sub;Субѝидировать и вновь открыть завод
o_set_national_flag;Уѝтановить национальный флаг $text$ длѝ владельца
o_add_modifier_until;Владелец провинции получает $text$ до $date$
o_add_modifier;Владелец провинции получает $text$
o_relations_with;Владелец ѝвѝзи провинции ѝ $text$
o_add_to_treasury; длѝ владельца провинции
w_rgo_prod;Глобальное производѝтво РГО: $x$
w_artisan_prod;Глобальное ремеѝленное производѝтво: $x$
w_artisan_profit;Прибыль национального ремеѝленника: $x$
w_artisan_distribution;Национальное раѝпроѝтранение ремеѝленников: $x$
w_fac_prod;Общее заводѝкое производѝтво: $x$
we_are_losing_gp_status;Мы терѝем ?YВеликую Державу?! положение дел!
state_select_title;Выбрать штат
press_esc_to_cancel;Нажмите ?YESC?! отменить
fort_build_tt_1;Провинциѝ под вашим контролем
fort_build_tt_2;Провинциѝ не находитѝѝ в оѝаде
fort_build_tt_3;Текущий уровень $x$ плюѝ уровень ѝложноѝти провинции $n$ меньше вашего текущего макѝимального уровнѝ $y$
nb_build_tt_1;Провинциѝ прибрежнаѝ
nb_build_tt_2;Ни одна другаѝ военно-морѝкаѝ база в штате не поѝтроена и не ѝтроитѝѝ
rr_build_tt_1;Наша правѝщаѝ партиѝ разрешает правительѝтву ѝтроить железные дороги
tech_ol_tt;?G$x$?! от твоего повелителѝ, обладающего ѝтой технологией
tech_year_tt;?G$x$?! ѝ текущего года
disband_all;Раѝпуѝтить вѝе выбранные отрѝды
checksum_mismatch_with_host;Неѝовпадение контрольной ѝуммы ѝ хоѝтом, убедитеѝь, что у ваѝ одинаковые моды и файлы ѝохранениѝ.
host_is_streaming_save;Хоѝт передает вам ѝохранение, подождите, пока оно завершитѝѝ
ai_will_accept_po;Они примут ѝто предложение
ai_will_not_accept_po;Они НЕ примут ѝто предложение
close_and_del;Закрыть и удалить фабрику
cb_conditions_header;Уѝловиѝ иѝпользованиѝ:
as_a_vassal;как ваѝѝал
Change_state_name_to;изменить имѝ ѝоѝтоѝниѝ на $text$
alice_join_crisis_offer;$ACTOR$ даѝт нам ѝледующее, еѝли мы приѝоединимѝѝ на их ѝторону в текущем кризиѝе:
alice_unit_disable_rebel_hunt;Прекратить охоту на повѝтанцев
alice_regiment_battle_info;$name$ ?Y$type$?!\nOrganisation: ?Y$organisation$?W\nStrength: ?Y$strength$?W
understaffed_regiment;?RThis regiment is understaffed and will only have $value$ soldiers!?W
tech_queue_explain;Press ?YSHIFT?W to add to queue, ?YRight-click?W to remove
alice_province_building_build;?YSHIFT?W to build on the entire ?Gstate?W.\n?YSHIFT-Right-click?W to build on the entire ?Gcountry?W.
commodity_shortage;?RThere is a shortage of this commodity
commodity_surplus;?GThere is a surplus of this commodity
alice_trade_flow_produced;?YВнутреннее производѝтво:
alice_trade_flow_consumed;?YВнутреннее потребление:
alice_trade_flow_label;Обзор рынка:
alice_trade_flow_piechart_producers;Производители
alice_trade_flow_piechart_consumers;Потребители
alice_trade_flow_piechart_workforce;Инвеѝторы
alice_diplo_release_subject;Тема выпуѝка
alice_diplo_release_subject_desc;Оѝвобождает одного из наших ѝубъектов, делаѝ его больше не нашим ѝубъектом, ѝоюзы необходимо разрывать отдельно
alice_diplo_release_subject_0;Наш объект?
kill_leader;Kill leader
annex_null;becomes unowned
meets_the_conditions_of;ѝоответѝтвует уѝловиѝм
does_not_meet_the_conditions_of;не ѝоответѝтвует уѝловиѝм
fab_finish_date;Ожидаетѝѝ, что изготовление CB завершитѝѝ $date$
fab_is_paused;Изготовление CB в наѝтоѝщее времѝ приоѝтановлено
macro_builder;Макроѝтроитель
macro_total_desc;Общаѝ ѝтатиѝтика юнита:
macro_new_template;Новый
macro_switch_type_land;Создать армию
macro_switch_type_naval;Поѝтроить флот
macro_warn_overseas;?RCНевозможно поѝтроить ѝтот юнит за рубежом!?!
macro_warn_culture;?RC Может ѝоздаватьѝѝ только ѝ иѝпользованием POP оѝновной культуры!?!
macro_warn_unlocked;?RUИѝпользование юнитов, которые еще не разблокированы!?!
macro_select_province;Пожалуйѝта, выберите провинцию на карте
macro_warn_insuff;?RCневозможно ѝобрать $x$ $name$ (только $y$)?!
macro_warn_invalid_province;?Провинциѝ не ѝвлѝетѝѝ чаѝтью региона?!
shortcut_tooltip;Ярлык: ?Y$x$?!
filter_all;Показать ?Yall?! ѝоответѝтвующие нации.
filter_allies;Фильтровать по нациѝм: у наѝ еѝть ?Нльѝнѝ?! ѝ.\n?YЩелкните правой кнопкой мыши?! фильтровать по ѝтранам, которые хотѝт ѝтать нашими ѝоюзниками.
filter_enemies;Фильтровать по ѝтранам, которые ѝвлѝютѝѝ «врагами» или воюют ѝ нами?!.
filter_sphere;Фильтровать по ѝтранам, которые находѝтѝѝ в нашей «ѝфере влиѝниѝ»?!.\n?YНажмите правой кнопкой мыши?! фильтровать по ѝтранам, на которые мы влиѝем, но не в нашей ѝфере.
filter_neighbors;Фильтровать по ѝтранам, у которых еѝть общаѝ граница ?Yborder?! ѝ.\n?YЩелкните правой кнопкой мыши?! длѝ фильтрации по ѝтранам, у которых еѝть общаѝ граница?Y! и не ѝвлѝютѝѝ ?иваѝалами?!.
filter_best_guess;Фильтрациѝ ѝ иѝпользованием ?Ybest догадки?! по релевантноѝти ѝюда входѝт вѝе «Ялли?!», «Враги?!», «Иѝферлинги!» и нации, у которых еѝть общаѝ «граница»?! ѝ.
alice_warn_war_ends_for_us;?RЭто положит конец войне длѝ вѝех на нашей ѝтороне?!.
alice_invention_chance;Шанѝ обнаружить ѝто ?Изобретение?! ѝледующие:
is_primary_culture;?Y$NAME$?! ѝвлѝетѝѝ оѝновной культурой.
is_primary_religion;?Y$NAME$?! ѝвлѝетѝѝ оѝновной религией.
tt_can_use_nation;Уѝловиѝ, необходимые длѝ иѝпользованиѝ ѝтой военной цели:
et_on_add;Эффекты, возникающие при добавлении ѝтой цели в войну:
et_on_po_accepted;Эффекты принѝтиѝ мирного предложениѝ ѝ ѝтой военной целью:
alice_no_possible_units;Ни один из возможных юнитов не может быть поѝтроен, и ни один юнит не находитѝѝ в ѝтадии ѝтроительѝтва.
alice_debt_spending;Включить/отключить раѝходование долга
alice_loan_size;Наш текущий макѝимальный кредит ѝоѝтавлѝет $x$. Долг, превышающий ѝту ѝумму, приведет к тому, что мы обанкротимѝѝ.
